Geo Point;Geo Shape;gares_id;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;StopName;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.88094656356074, 2.3649934724001813;"{""coordinates"": [2.364993472400181, 48.88094656356074], ""type"": ""Point""}";476;Louis Blanc;;;71407;Louis Blanc;43823;Louis Blanc;A01540;C01377;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;653429.4678;6864734.7932;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Louis Blanc
48.881192119070995, 2.364378741179748;"{""coordinates"": [2.364378741179748, 48.881192119070995], ""type"": ""Point""}";477;Louis Blanc;;;71407;Louis Blanc;43823;Louis Blanc;A01550;C01387;METRO 7bis;7b;METRO;0;0;METRO 7bis;0;0;RATP;1;0;653384.605;6864762.4602;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/53a6369ab3772b0115d7c675f45329d2;Louis Blanc
48.809144361835415, 2.4345098959239406;"{""coordinates"": [2.434509895923941, 48.809144361835415], ""type"": ""Point""}";500;Maisons-Alfort-Stade;;;70426;Maisons-Alfort - Stade;44066;Maisons-Alfort - Stade;A01541;C01378;METRO 8;8;METRO;0;0;0;0;0;RATP;1;0;658470.4404;6856712.2782;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51;Maisons-Alfort-Stade
48.85855382636669, 2.342232759368107;"{""coordinates"": [2.342232759368107, 48.85855382636669], ""type"": ""Point""}";674;Pont Neuf;La Monnaie;;71253;Pont Neuf;44491;Pont Neuf;A01540;C01377;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;651739.5237;6862258.5537;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Pont Neuf
48.88796756174982, 2.3734568878525493;"{""coordinates"": [2.373456887852549, 48.88796756174982], ""type"": ""Point""}";739;Riquet;;;71977;Riquet;44643;Riquet;A01540;C01377;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;654056.345;6865510.53;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Riquet
48.86147646373029, 2.373943508245182;"{""coordinates"": [2.373943508245182, 48.86147646373029], ""type"": ""Point""}";758;Saint-Ambroise;;;71781;Saint-Ambroise;45205;Saint-Ambroise;A01542;C01379;METRO 9;9;METRO;0;0;0;0;0;RATP;1;0;654068.6725;6862564.6133;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a;Saint-Ambroise
48.8971540959649, 2.280413812210846;"{""coordinates"": [2.280413812210846, 48.8971540959649], ""type"": ""Point""}";668;Pont de Levallois;Bécon;;72057;Pont de Levallois;473676;Pont de Levallois - Bécon;A01536;C01373;METRO 3;3;METRO;0;0;METRO 3;0;0;RATP;1;0;647243.0936;6866590.1736;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f78ce6bd7997c9c645e25ebdc320ff0a;Pont de Levallois
48.92078596906289, 2.410598616469426;"{""coordinates"": [2.410598616469426, 48.92078596906289], ""type"": ""Point""}";411;La Courneuve 8 Mai 1945;;;73696;La Courneuve - 8 Mai 1945;470546;La Courneuve - 8 Mai 1945;A01191;C01389;TRAM 1;1;TRAMWAY;0;0;0;0;0;RATP;1;0;656807.0913;6869138.8599;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;La Courneuve 8 Mai 1945
48.82741485955381, 2.306635926501743;"{""coordinates"": [2.306635926501743, 48.82741485955381], ""type"": ""Point""}";983;Porte de Vanves;;;71006;Porte de Vanves;44526;Porte de Vanves;A01193;C01391;TRAM 3a;3A;TRAMWAY;0;0;0;0;0;RATP;1;0;649097.4412;6858818.5765;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/503e55ae906ef2c635f866cebaf92614;Porte de Vanves
48.83187246749725, 2.287207137822909;"{""coordinates"": [2.287207137822909, 48.83187246749725], ""type"": ""Point""}";1012;Porte de Versailles;Parc des Expositions de Paris;;71045;Porte de Versailles;49515;Porte de Versailles;A01192;C01390;TRAM 2;2;TRAMWAY;0;0;0;TRAM 2;0;RATP;1;0;647675.6105;6859326.9082;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886;Porte de Versailles
48.847393890496086, 2.40965605640417;"{""coordinates"": [2.40965605640417, 48.847393890496086], ""type"": ""Point""}";1098;Porte de Vincennes;;;71663;Porte de Vincennes;44528;Porte de Vincennes;A01757;C01679;TRAM 3b;3B;TRAMWAY;0;0;0;TRAM 3B;0;RATP;1;0;656677.0058;6860978.5672;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987;Porte de Vincennes
48.84694815185174, 2.409551429787372;"{""coordinates"": [2.409551429787372, 48.84694815185174], ""type"": ""Point""}";1117;Porte de Vincennes;;;71663;Porte de Vincennes;44528;Porte de Vincennes;A01193;C01391;TRAM 3a;3A;TRAMWAY;0;0;0;TRAM 3A;0;RATP;1;0;656668.9572;6860929.0625;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/503e55ae906ef2c635f866cebaf92614;Porte de Vincennes
48.89767181948477, 2.3298303344938858;"{""coordinates"": [2.329830334493886, 48.89767181948477], ""type"": ""Point""}";1211;Porte de Saint-Ouen;;;72078;Porte de Saint-Ouen;44525;Porte de Saint-Ouen;A01757;C01679;TRAM 3b;3B;TRAMWAY;0;0;0;0;0;RATP;1;0;650866.4949;6866615.8591;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987;Porte de Saint-Ouen
48.84038874809587, 2.3799112714543984;"{""coordinates"": [2.379911271454398, 48.84038874809587], ""type"": ""Point""}";67;Bercy;;;71607;Gare de Bercy;58728;Bercy;A01539;C01376;METRO 6;6;METRO;0;0;0;0;0;RATP;1;0;654488.0813;6860216.3939;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;Bercy
48.84066322929957, 2.3263846107928465;"{""coordinates"": [2.326384610792847, 48.84066322929957], ""type"": ""Point""}";250;Edgar Quinet;;;71108;Edgar Quinet;45313;Edgar Quinet;A01539;C01376;METRO 6;6;METRO;0;0;0;0;0;RATP;1;0;650559.8002;6860279.0962;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;Edgar Quinet
48.80335523705089, 2.4455741010301444;"{""coordinates"": [2.445574101030144, 48.80335523705089], ""type"": ""Point""}";499;Maisons-Alfort-Les Juilliottes;;;70358;Maisons-Alfort Les Juilliottes;44067;Maisons-Alfort Les Juilliottes;A01541;C01378;METRO 8;8;METRO;0;0;0;0;0;RATP;1;0;659278.4619;6856062.839;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51;Maisons-Alfort-Les Juilliottes
48.88956082831538, 2.3151768973047844;"{""coordinates"": [2.315176897304784, 48.88956082831538], ""type"": ""Point""}";1226;Pont Cardinet;;;71475;Pont Cardinet;480287;Pont Cardinet;A01547;C01384;METRO 14;14;METRO;0;0;0;0;0;RATP;1;0;649784.3823;6865723.1786;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/9bca75433eb738dae9e4d3657b7a3de5;Pont Cardinet
48.91320209515785, 2.334663150119759;"{""coordinates"": [2.334663150119759, 48.91320209515785], ""type"": ""Point""}";1229;Mairie de Saint-Ouen;Région Île-de-France;;72168;Mairie de Saint-Ouen;43969;Mairie de Saint-Ouen;A01547;C01384;METRO 14;14;METRO;0;0;0;0;0;RATP;1;0;651235.3557;6868339.7673;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/9bca75433eb738dae9e4d3657b7a3de5;Mairie de Saint-Ouen
48.8760012915015, 2.2259590951448796;"{""coordinates"": [2.22595909514488, 48.8760012915015], ""type"": ""Point""}";64;Belvédère;;;70845;Belvédère;42315;Belvédère;A01192;C01390;TRAM 2;2;TRAMWAY;0;0;0;0;0;RATP;1;0;643227.7788;6864275.8956;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886;Belvédère
48.93859447585233, 2.3558452667806034;"{""coordinates"": [2.355845266780603, 48.93859447585233], ""type"": ""Point""}";514;Marché de Saint-Denis;;;72333;Marché de Saint-Denis;44095;Marché de Saint-Denis;A01191;C01389;TRAM 1;1;TRAMWAY;0;0;0;0;0;RATP;1;0;652810.8597;6871150.4847;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;Marché de Saint-Denis
48.85747140891036, 2.220603560028727;"{""coordinates"": [2.220603560028727, 48.85747140891036], ""type"": ""Point""}";457;Les Coteaux;;;70763;Les Coteaux;47370;Les Coteaux;A01192;C01390;TRAM 2;2;TRAMWAY;0;0;0;0;0;RATP;1;0;642814.6512;6862219.4104;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886;Les Coteaux
